num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
577	632.055171	78.443216	2.628508	1.506500	17.700317
579	634.146049	78.213060	2.582014	1.510325	16.449859
581	636.236074	78.267734	2.549903	1.506259	18.491831
583	638.326440	78.492567	2.648334	1.521484	18.354908
585	640.417658	78.587482	2.593077	1.515328	17.098895
587	642.508904	78.365122	2.320357	1.506562	17.239470
589	644.598922	79.096178	2.360730	1.506081	17.794296
591	646.687505	78.750342	2.272594	1.507433	18.535536
593	648.778562	78.981722	2.573432	1.505088	17.862962
595	650.869252	81.117889	2.286878	1.514204	17.739436
597	652.960058	79.330442	2.594779	1.510864	17.414611
599	655.049945	79.915744	7.373394	1.510491	19.005546
601	657.139554	80.557956	2.478374	1.530877	18.346939
603	659.229333	80.538536	1.960995	1.520022	18.682389
605	661.319489	78.568336	2.188083	1.522421	17.551540
607	663.408946	79.269772	2.134540	1.517973	17.990580
609	665.498073	80.254913	1.675562	1.510554	17.869039
611	667.586973	79.649270	1.797739	1.519404	18.829077
613	669.677142	83.478262	3.965755	1.515345	18.284086
615	671.766220	84.154040	3.449282	1.515703	19.140111
617	673.856796	81.096281	1.660292	1.511115	18.796104
619	675.946547	82.537886	1.793262	1.511250	19.082266
621	678.037377	87.605135	7.477226	1.512646	18.361358
623	680.127587	84.974385	3.470464	1.520410	19.154915
625	682.218641	80.927102	1.361866	1.513492	18.898809
627	684.309106	81.492793	1.306252	1.507759	19.673739
629	686.400021	81.050559	1.252729	1.502470	18.780343
631	688.491706	83.253218	1.391820	1.515645	19.534107
633	690.582838	82.181914	1.058651	1.510100	19.637943
635	692.674333	82.230576	0.831308	1.495810	19.172836
637	694.765656	95.798262	6.507483	1.519259	19.021650
639	696.856125	86.043651	3.902743	1.512072	19.324591
641	698.946125	86.016641	3.616540	1.512539	19.290265
643	701.036782	86.392491	2.914202	1.509402	19.269990
645	703.127758	87.058569	3.743003	1.512222	19.966571
647	705.217871	82.593161	0.809428	1.502927	19.303066
649	707.308035	82.942086	0.866933	1.521641	19.678333
651	709.398156	81.057031	1.064176	1.502799	20.213616
653	711.488350	82.517566	0.885724	1.502228	20.064743
655	713.578208	87.700923	5.637216	1.513250	19.433407
657	715.668305	83.643500	0.571067	1.508798	19.781681
659	717.757802	84.394556	0.537373	1.515019	20.066262
661	719.847134	83.613889	0.645726	1.515166	20.225763
663	721.936784	85.222336	1.073638	1.521609	19.701245
665	724.026508	80.439223	0.217680	1.491750	20.177860
667	726.115810	83.695795	0.343896	1.502606	20.671598
669	728.205770	84.415332	6.375265	1.508250	20.695963
671	730.295491	84.166280	0.168893	1.503612	20.378032
673	732.386032	85.638101	0.203554	1.511065	19.951442
675	734.476522	87.882963	3.351025	1.515177	20.460514
677	736.566764	86.143287	0.358017	1.511644	20.246444
679	738.657490	94.103120	5.027695	1.513994	20.792424
681	740.748852	85.697986	0.182521	1.509233	21.207887
683	742.839780	83.645832	-0.011980	1.515040	20.632779
685	744.931050	85.202734	-0.164309	1.507619	20.591501
687	747.022131	85.811982	-0.079715	1.516022	21.144903
689	749.113112	83.924371	0.045735	1.513826	20.913122
691	751.203685	87.896928	3.108532	1.503654	21.294401
693	753.294890	88.458332	3.358504	1.506917	20.736726
695	755.384693	84.900942	-0.305195	1.510508	20.960341
697	757.475783	85.826447	-0.367376	1.507795	20.880320
699	759.567055	85.068818	-0.366523	1.496178	20.943292
701	761.656968	85.469656	-0.531209	1.500904	20.917193
703	763.747362	81.970085	3.980640	1.503420	20.915142
705	765.837676	85.930952	-0.519245	1.503195	21.301294
707	767.926999	87.582042	-0.552960	1.511651	21.524286
709	770.016612	83.427082	-0.217656	1.519054	20.724993
711	772.106580	85.197753	-0.528259	1.511258	20.323958
713	774.195766	82.330074	-0.334532	1.511829	21.252423
