crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	7.492683	1863	0.000000
281474976710655.000000	7.512557	1864	0.000000
281474976710655.000000	7.352420	1865	0.000000
281474976710655.000000	7.147372	1866	0.000000
281474976710655.000000	7.122739	1867	2133286656.000000
281474976710655.000000	7.342003	1868	2134282880.000000
281474976710655.000000	7.207562	1869	2135377024.000000
281474976710655.000000	7.173330	1870	2136375936.000000
281474976710655.000000	7.574499	1871	2137465344.000000
281474976710655.000000	7.892058	1872	2138468224.000000
281474976710655.000000	7.454280	1873	2139555456.000000
281474976710655.000000	7.683469	1874	2140560896.000000
281474976710655.000000	7.909420	1875	2141644416.000000
281474976710655.000000	8.190656	1876	2142650880.000000
281474976710655.000000	7.672483	1877	2143739264.000000
281474976710655.000000	8.181387	1878	2144739840.000000
281474976710655.000000	8.034640	1879	2145831680.000000
281474976710655.000000	8.058999	1880	2146829568.000000
281474976710655.000000	7.984556	1881	2147927040.000000
281474976710655.000000	8.224042	1882	2148916736.000000
281474976710655.000000	8.224758	1883	2150020352.000000
281474976710655.000000	8.468596	1884	2151004416.000000
281474976710655.000000	8.684818	1885	2152114176.000000
281474976710655.000000	8.693431	1886	2153094912.000000
281474976710655.000000	8.541164	1887	2154204672.000000
281474976710655.000000	8.895447	1888	2155185920.000000
281474976710655.000000	8.846560	1889	2156295936.000000
281474976710655.000000	8.893451	1890	2157277440.000000
281474976710655.000000	8.859259	1891	2158385920.000000
281474976710655.000000	9.251125	1892	2159368704.000000
281474976710655.000000	9.019364	1893	2160477184.000000
281474976710655.000000	9.194789	1894	2161460480.000000
281474976710655.000000	9.221878	1895	2162567168.000000
281474976710655.000000	9.398568	1896	2163552000.000000
281474976710655.000000	9.173011	1897	2164658688.000000
281474976710655.000000	9.931715	1898	2165643776.000000
281474976710655.000000	9.703186	1899	2166749440.000000
281474976710655.000000	9.778014	1900	2167733760.000000
281474976710655.000000	9.582314	1901	2168840192.000000
281474976710655.000000	9.961359	1902	2169824256.000000
281474976710655.000000	10.173028	1903	2170930432.000000
281474976710655.000000	10.154769	1904	2171916800.000000
281474976710655.000000	9.955134	1905	2173019904.000000
281474976710655.000000	10.037286	1906	2174008576.000000
281474976710655.000000	10.154720	1907	2175109632.000000
281474976710655.000000	10.481276	1908	2176102912.000000
281474976710655.000000	10.507100	1909	2177196800.000000
281474976710655.000000	10.212640	1910	2178196992.000000
281474976710655.000000	10.111264	1911	2179284736.000000
281474976710655.000000	10.695718	1912	2180290816.000000
281474976710655.000000	10.418350	1913	2181373440.000000
281474976710655.000000	10.701369	1914	2182382336.000000
281474976710655.000000	10.942803	1915	2183463424.000000
281474976710655.000000	11.208375	1916	2184473600.000000
